City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Barrow,US,71.2906,-156.7887,28.42,86,90,26.46,mist
131,Saskylakh,RU,71.9167,114.0833,3.54,100,98,5.26,overcast clouds
132,Port Macquarie,AU,-31.4333,152.9167,55.89,90,92,2.93,overcast clouds
133,Karratha,AU,-20.7377,116.8463,71.29,37,1,10.33,clear sky
134,Mehamn,NO,71.0357,27.8492,30.38,69,0,11.5,clear sky
135,Vestmannaeyjar,IS,63.4427,-20.2734,36.99,62,100,18.23,overcast clouds
136,Kapaa,US,22.0752,-159.319,79.2,74,20,1.99,few clouds
137,Talcahuano,CL,-36.7167,-73.1167,56.88,82,90,10.36,overcast clouds
138,Port Keats,AU,-14.25,129.55,82.92,74,80,6.22,broken clouds
139,Hermanus,ZA,-34.4187,19.2345,68.9,87,65,11.39,broken clouds
140,Westport,US,41.1415,-73.3579,79.09,49,37,1.01,scattered clouds
141,Sechura,PE,-5.5569,-80.8222,77.22,59,33,15.1,scattered clouds
142,Casablanca,MA,33.5928,-7.6192,71.94,94,75,4.0,broken clouds
143,Ust-Tsilma,RU,65.441,52.1498,29.46,92,90,4.79,overcast clouds
144,Constitucion,CL,-35.3333,-72.4167,58.62,70,21,6.4,few clouds
145,Aden,YE,12.7794,45.0367,85.12,60,57,8.52,broken clouds
146,Sri Aman,MY,1.2376,111.4621,77.09,94,97,0.0,light rain
147,Sur,OM,22.5667,59.5289,79.43,72,51,14.54,broken clouds
148,Leticia,CO,-4.2153,-69.9406,84.18,89,75,14.97,broken clouds
149,Sturgis,US,41.7992,-85.4192,73.72,30,1,10.36,clear sky
150,Tooele,US,40.5308,-112.2983,61.57,67,1,9.22,clear sky
151,Kaitangata,NZ,-46.2817,169.8464,45.7,71,100,4.34,overcast clouds
152,Vila Velha,BR,-20.3297,-40.2925,66.15,88,75,13.8,mist
153,Yantzaza,EC,-3.8278,-78.7594,81.41,56,53,2.19,broken clouds
154,Noratus,AM,40.3755,45.1772,39.96,82,65,6.24,broken clouds
155,Faanui,PF,-16.4833,-151.75,79.02,79,18,9.42,light rain
156,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,100,10.92,overcast clouds
157,Khash,IR,28.2211,61.2158,67.51,34,0,5.06,clear sky
158,Zhigansk,RU,66.7697,123.3711,16.03,94,75,6.06,broken clouds
159,Wagar,SD,16.1525,36.2032,85.71,41,6,16.2,clear sky
160,Anadyr,RU,64.75,177.4833,21.7,93,90,13.42,overcast clouds
161,Parys,FR,48.8534,2.3488,65.17,80,75,5.01,broken clouds
162,Zelenoborsk,RU,61.4669,64.0333,30.4,87,100,4.12,overcast clouds
163,Laurentides,CA,46.4334,-74.9826,58.71,67,100,4.34,overcast clouds
164,Georgetown,MY,5.4112,100.3354,76.95,95,40,0.0,scattered clouds
165,Ginir,ET,7.1333,40.7,57.69,57,96,5.19,overcast clouds
166,Isangel,VU,-19.55,169.2667,77.11,83,100,6.91,overcast clouds
167,Kahului,US,20.8947,-156.47,80.62,65,20,11.5,few clouds
168,Kemin,KG,42.7846,75.6892,55.85,46,100,1.61,overcast clouds
169,Carnarvon,AU,-24.8667,113.6333,66.27,68,90,11.5,overcast clouds
170,Caxito,AO,-8.5785,13.6643,77.65,80,100,5.73,overcast clouds
171,Oranjemund,NA,-28.55,16.4333,63.1,70,99,3.51,overcast clouds
172,Itarema,BR,-2.9248,-39.9167,82.58,70,100,12.64,overcast clouds
173,Huilong,CN,31.8111,121.655,54.03,86,100,12.3,overcast clouds
174,Zverinogolovskoye,RU,54.4586,64.8542,46.58,68,100,5.84,light rain
175,Salalah,OM,17.0151,54.0924,76.71,80,77,4.9,broken clouds
176,Turan,VN,16.0678,108.2208,78.78,89,40,3.44,scattered clouds
177,Pervomayskoye,RU,43.919,46.7102,43.39,44,1,6.91,clear sky
178,Souillac,MU,-20.5167,57.5167,75.58,73,75,6.91,light rain
179,Jales,BR,-20.2689,-50.5458,78.58,49,6,10.07,clear sky
180,Kununurra,AU,-15.7667,128.7333,80.58,69,90,0.0,overcast clouds
181,Richards Bay,ZA,-28.783,32.0377,64.04,73,0,9.89,clear sky
182,Geraldton,AU,-28.7667,114.6,63.01,88,75,9.22,broken clouds
183,North Bend,US,43.4065,-124.2243,62.24,85,75,9.22,broken clouds
184,Lorengau,PG,-2.0226,147.2712,81.0,78,82,6.26,broken clouds
185,Sept-Iles,CA,50.2001,-66.3821,51.06,77,75,1.99,broken clouds
186,Mishkino,RU,55.3389,63.9175,36.27,95,100,12.77,overcast clouds
187,Zheleznodorozhnyy,RU,55.7503,38.0042,37.22,94,100,16.2,moderate rain
188,San Juan De Uraba,CO,8.7592,-76.5297,83.53,74,100,9.42,overcast clouds
189,Codrington,AU,-38.2667,141.9667,64.02,41,100,13.73,overcast clouds
190,Katsuura,JP,35.1333,140.3,58.19,58,100,10.63,light rain
191,Fortuna,US,40.5982,-124.1573,62.98,69,75,8.01,broken clouds
192,Rawah,IQ,34.4816,41.9093,70.05,31,0,7.7,clear sky
193,Novyy Rogachik,RU,48.6768,44.0608,31.1,69,38,6.82,scattered clouds
194,Sal Rei,CV,16.1833,-22.9167,81.16,78,0,13.8,clear sky
195,Gaoual,GN,11.75,-13.2,82.11,69,100,2.24,overcast clouds
196,Ekhabi,RU,53.5102,142.9671,24.96,87,28,9.66,scattered clouds
197,Altstatten,CH,47.3777,9.5475,60.04,60,14,8.63,few clouds
198,Esperance,AU,-33.8667,121.9,57.04,87,19,15.3,few clouds
199,Akureyri,IS,65.6835,-18.0878,22.93,80,0,4.61,clear sky
200,Lompoc,US,34.6391,-120.4579,76.78,47,1,4.61,clear sky
201,Manbij,SY,36.5281,37.9549,56.17,29,0,9.64,clear sky
202,Moose Factory,CA,51.2585,-80.6094,42.8,60,75,9.22,broken clouds
203,Basco,PH,20.4487,121.9702,80.74,74,21,7.49,few clouds
204,Havoysund,NO,70.9963,24.6622,30.43,65,100,26.35,overcast clouds
205,Hong Gai,VN,20.956,107.0946,78.71,91,96,3.42,overcast clouds
206,Vredendal,ZA,-31.6683,18.5012,68.05,51,92,5.08,overcast clouds
207,Do Gonbadan,IR,30.3586,50.7981,69.89,26,0,4.61,clear sky
