City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Dickinson,US,88.12,scattered clouds,29.4608,-95.0513,
384,Acapulco,MX,84.56,overcast clouds,16.8634,-99.8901,
386,Cobija,BO,89.78,scattered clouds,-11.0267,-68.7692,
387,Zarautz,ES,73.92,clear sky,43.2844,-2.1699,
390,Jalu,LY,73.8,few clouds,29.0331,21.5482,
392,Kavaratti,IN,82.06,light rain,10.5669,72.642,
393,Taitung,TW,75.72,overcast clouds,22.7583,121.1444,
396,Abnub,EG,73.62,broken clouds,27.2696,31.1511,
399,Santa Rosa,PH,81.1,broken clouds,14.3122,121.1114,
401,Sola,VU,80.56,overcast clouds,-13.8833,167.55,
402,Periyanayakkanpalaiyam,IN,74.79,mist,11.15,76.9333,
406,Veraval,IN,78.3,clear sky,20.9,70.3667,
410,Karema,TZ,77.4,broken clouds,-6.8205,30.4389,
413,Pak Phanang,TH,78.93,overcast clouds,8.3511,100.202,
414,Poum,NC,70.2,light rain,-20.2333,164.0167,
416,Ternate,ID,79.93,scattered clouds,0.8,127.4,
418,Sampit,ID,73.42,overcast clouds,-2.5333,112.95,
420,Marapanim,BR,82.49,scattered clouds,-0.7175,-47.6997,
422,Vao,NC,70.0,moderate rain,-22.6667,167.4833,
428,Kalengwa,ZM,72.46,overcast clouds,-13.4659,25.0027,
429,Carauari,BR,82.04,overcast clouds,-4.8828,-66.8958,
433,Loandjili,CG,77.11,scattered clouds,-4.7561,11.8578,
434,Ambilobe,MG,71.29,scattered clouds,-13.2,49.05,
435,Ibra,OM,75.85,scattered clouds,22.6906,58.5334,
436,Karkal,IN,78.62,moderate rain,13.2,74.9833,
438,Kikwit,CD,70.57,scattered clouds,-5.041,18.8162,
440,Dano,BF,83.41,overcast clouds,11.15,-3.0667,
441,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,
442,Inyonga,TZ,77.97,broken clouds,-6.7167,32.0667,
443,Praya,CV,84.74,clear sky,14.9215,-23.5087,
445,Mayumba,GA,76.05,overcast clouds,-3.432,10.6554,
446,Acarau,BR,82.58,overcast clouds,-2.8856,-40.12,
448,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,
450,Banda Aceh,ID,78.82,overcast clouds,5.5577,95.3222,
451,Doha,QA,85.98,clear sky,25.2867,51.5333,
454,Miandrivazo,MG,76.35,clear sky,-19.5167,45.4667,
456,Viedma,AR,80.04,clear sky,-40.8135,-62.9967,
457,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,
463,Oussouye,SN,87.98,broken clouds,12.485,-16.5469,
464,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,
467,Benidorm,ES,72.9,overcast clouds,38.5382,-0.131,
469,Baculin,PH,77.79,overcast clouds,7.4525,126.5842,
470,Ugoofaaru,MV,81.5,overcast clouds,5.6667,73.0,
471,Marshall,US,79.57,scattered clouds,34.3834,-86.3333,
472,Camapua,BR,82.65,overcast clouds,-19.5314,-54.0439,
474,Makakilo City,US,79.29,clear sky,21.3469,-158.0858,
475,San Luis,AR,81.82,clear sky,-33.295,-66.3356,
476,Cap Malheureux,MU,75.69,few clouds,-19.9842,57.6142,
479,Adre,TD,84.42,overcast clouds,13.4667,22.2,
482,Tabuk,PH,72.46,few clouds,17.4189,121.4443,
488,Saint-Joseph,RE,71.96,scattered clouds,-21.3667,55.6167,
489,Truth Or Consequences,US,76.91,clear sky,33.1284,-107.2528,
490,Lewistown,US,75.42,clear sky,40.5992,-77.5714,
495,Palasa,IN,78.26,overcast clouds,18.7667,84.4167,
497,Kayalpattinam,IN,82.04,light rain,8.5667,78.1167,
503,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,
505,Waingapu,ID,79.09,broken clouds,-9.6567,120.2641,
507,Puerto Rondon,CO,89.96,light rain,6.2805,-71.1,
508,Skeldon,GY,84.11,broken clouds,5.8833,-57.1333,
509,Anloga,GH,82.62,light rain,5.7947,0.8973,
514,Catuday,PH,79.52,overcast clouds,16.2923,119.8062,
515,Tura,IN,71.1,overcast clouds,25.5198,90.2201,
516,Guadalupe Y Calvo,MX,70.34,broken clouds,26.1,-106.9667,
519,Matara,LK,77.07,light rain,5.9485,80.5353,
520,Greenwood,US,80.78,clear sky,34.1668,-82.1165,
521,Angoche,MZ,75.85,overcast clouds,-16.2325,39.9086,
522,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,
524,Salta,AR,80.58,few clouds,-24.7859,-65.4117,
526,Jizan,SA,88.74,few clouds,17.3333,42.6667,
527,Kieta,PG,79.63,overcast clouds,-6.2167,155.6333,
531,Ndende,GA,72.9,light rain,-2.4008,11.3581,
541,Bambanglipuro,ID,77.02,broken clouds,-7.95,110.2833,
543,Sorong,ID,79.9,overcast clouds,-0.8833,131.25,
545,Comodoro Rivadavia,AR,84.06,scattered clouds,-45.8667,-67.5,
546,Havelock,US,82.06,clear sky,34.8791,-76.9013,
547,Tumaco,CO,79.95,light rain,1.7986,-78.8156,
552,Russell,US,81.68,clear sky,32.3502,-85.1999,
553,Tchibanga,GA,71.08,overcast clouds,-2.85,11.0333,
554,Mahibadhoo,MV,82.0,broken clouds,3.7833,72.9667,
560,Tavira,PT,73.18,clear sky,37.1273,-7.6486,
561,Cintalapa,MX,75.02,overcast clouds,16.6951,-93.7272,
562,Yilan,TW,77.83,overcast clouds,24.757,121.753,
565,Macas,EC,80.35,moderate rain,-2.3167,-78.1167,
568,Caravelas,BR,72.1,overcast clouds,-17.7125,-39.2481,
569,Aswan,EG,83.5,clear sky,24.0934,32.907,
570,Tuli,PH,72.28,overcast clouds,7.2333,125.4167,
572,Liku,ID,75.13,overcast clouds,-0.7275,119.8922,
582,Kismayo,SO,78.24,overcast clouds,-0.3582,42.5454,
583,Puerto Narino,CO,78.75,moderate rain,-3.7703,-70.3831,
584,Mount Pleasant,US,81.09,clear sky,32.7941,-79.8626,
588,Chenghai,CN,75.11,few clouds,23.4632,116.768,
589,Odweyne,SO,75.47,scattered clouds,9.4092,45.064,
590,Hirara,JP,79.27,overcast clouds,24.8,125.2833,
592,Ta Khmau,KH,77.05,broken clouds,11.4833,104.95,
